Wavelength (nm),g-factor,CD,Extinction
580,0.00201959,24.4427,0.366975
579.5,0.00237185,28.68,0.366641
579,0.00271607,32.8164,0.366353
578.5,0.00305941,36.9185,0.365895
578,0.00338603,40.7822,0.365198
577.5,0.00371614,44.741,0.365058
577,0.00402843,48.4493,0.364671
576.5,0.00433714,52.1031,0.364258
576,0.00464219,55.683,0.363705
575.5,0.00493916,59.1613,0.36319
575,0.00523228,62.6919,0.363304
574.5,0.00551125,65.9215,0.362683
574,0.00578924,69.1462,0.362157
573.5,0.00607248,72.4409,0.361715
573,0.00633852,75.533,0.361326
572.5,0.00660834,78.6851,0.361036
572,0.00687458,81.6679,0.360209
571.5,0.00711949,84.4696,0.35975
571,0.00737361,87.2762,0.358893
570.5,0.00762393,90.0137,0.357997
570,0.00784871,92.6371,0.357879
569.5,0.00807629,95.1097,0.357077
569,0.0083007,97.482,0.356089
568.5,0.00849846,99.7197,0.355787
568,0.00870178,101.882,0.35501
567.5,0.00889802,104.034,0.354513
567,0.00906716,105.907,0.354164
566.5,0.00924279,107.737,0.353435
566,0.00938477,109.404,0.353475
565.5,0.00951502,111.004,0.353735
565,0.00965022,112.422,0.353234
564.5,0.00977562,113.805,0.352994
564,0.00988889,115.059,0.352796
563.5,0.0100102,116.236,0.352085
563,0.0101106,117.317,0.351832
562.5,0.0101977,118.262,0.351635
562,0.0102931,119.138,0.350956
561.5,0.0103747,119.847,0.350268
561,0.0104375,120.514,0.350098
560.5,0.0104887,121.125,0.350153
560,0.0105476,121.658,0.349733
559.5,0.0106055,121.943,0.34864
559,0.0106426,122.214,0.348194
558.5,0.0106795,122.399,0.347517
558,0.0107225,122.555,0.346565
557.5,0.0107607,122.62,0.345517
557,0.0107863,122.594,0.344627
556.5,0.0107959,122.513,0.344092
556,0.0107879,122.277,0.343683
555.5,0.0107878,122.064,0.343086
555,0.0107764,121.69,0.342398
554.5,0.0107547,121.242,0.341824
554,0.0107321,120.761,0.341187
553.5,0.0107123,120.269,0.340425
553,0.0106789,119.72,0.339929
552.5,0.0106442,119.059,0.339157
552,0.0106208,118.358,0.337902
551.5,0.0105785,117.669,0.337276
551,0.0105194,116.981,0.337189
550.5,0.0104626,116.116,0.336512
550,0.0103963,115.223,0.336055
549.5,0.0103302,114.31,0.335524
549,0.0102571,113.323,0.335001
548.5,0.0101777,112.294,0.334545
548,0.0101051,111.253,0.333824
547.5,0.0100422,110.114,0.332477
547,0.00996167,109.076,0.332007
546.5,0.00987254,107.895,0.331377
546,0.00978534,106.807,0.330959
545.5,0.00969998,105.612,0.330134
545,0.00959527,104.284,0.32954
544.5,0.0094843,103.006,0.329312
544,0.00938093,101.748,0.328874
543.5,0.00926737,100.426,0.328577
543,0.00916494,99.0442,0.327679
542.5,0.00906853,97.6691,0.326565
542,0.00895362,96.3583,0.326317
541.5,0.00884434,95.0694,0.32593
541,0.00872751,93.6399,0.325327
540.5,0.0086158,92.255,0.324671
540,0.00850041,90.9512,0.324427
539.5,0.00837906,89.529,0.32398
539,0.00826158,88.2311,0.323823
538.5,0.00815012,86.7808,0.322856
538,0.00803856,85.3662,0.322001
537.5,0.00792689,83.9953,0.321293
537,0.00781949,82.6465,0.320476
536.5,0.00769882,81.2631,0.32005
536,0.00761067,79.9065,0.318353
535.5,0.00750355,78.5416,0.317382
535,0.00739119,77.2266,0.316812
534.5,0.00726331,75.8737,0.316742
